Filename                                                                                                                                            Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/addr.c                                                                      277               277     0.00%          18                18     0.00%         295               295     0.00%         206               206     0.00%
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/addrmatch.c                                                                  76                76     0.00%           2                 2     0.00%          92                92     0.00%          50                50     0.00%
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/cipher-chachapoly-libcrypto.c                                                78                78     0.00%           4                 4     0.00%          85                85     0.00%          42                42     0.00%
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/cipher.c                                                                    276               276     0.00%          18                18     0.00%         268               268     0.00%         152               152     0.00%
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/cleanup.c                                                                     1                 1     0.00%           1                 1     0.00%           3                 3     0.00%           0                 0         -
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/crypto_api.h                                                                  1                 1     0.00%           1                 1     0.00%           6                 6     0.00%           0                 0         -
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/digest-openssl.c                                                             96                96     0.00%          13                13     0.00%          95                95     0.00%          50                50     0.00%
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/ed25519-openssl.c                                                           101               101     0.00%           3                 3     0.00%         124               124     0.00%          38                38     0.00%
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/fatal.c                                                                       1                 1     0.00%           1                 1     0.00%           7                 7     0.00%           0                 0         -
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/log.c                                                                       224               224     0.00%          19                19     0.00%         372               372     0.00%         190               190     0.00%
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/match.c                                                                     164               164     0.00%          10                10     0.00%         169               169     0.00%         116               116     0.00%
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/misc.c                                                                     1652              1652     0.00%         116               116     0.00%        2069              2069     0.00%        1128              1128     0.00%
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/platform-misc.c                                                               4                 4     0.00%           1                 1     0.00%           5                 5     0.00%           2                 2     0.00%
